#----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#At. num| Sp. Name      | Ion Charge | El. Name   | Isoel. Seq. | Ground Shells (a) | Ground Level | Ionized Level     |      Ionization Energy (b) (eV)       | References
#-------|---------------|------------|------------|-------------|-------------------|--------------|-------------------|---------------------------------------|-------------------
     11 | Na VIII       |         +7 | Sodium     | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [264.192(22)]                |            L11770
     11 | Na IX         |         +8 | Sodium     | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          (299.8600(70))               |         L16264c99
     11 | Na X          |         +9 | Sodium     | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (1465.134440(25))             |            L13237
     11 | Na XI         |        +10 | Sodium     | H           | 1s                | 2S<1/2>      |                   |         (1648.70200(12))              |             L7188
     12 | Mg I          |          0 | Magnesium  | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |             7.6462350(40)             |      L10635,L6969
     12 | Mg II         |         +1 | Magnesium  | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |            15.0352670(60)             |             L4995
     12 | Mg III        |         +2 | Magnesium  | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |            80.14360(60)               |             L4995
     12 | Mg IV         |         +3 | Magnesium  | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |          [109.2654(12)]               |             L4995
     12 | Mg V          |         +4 | Magnesium  | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [141.335(30)]                |            L11770
     12 | Mg VI         |         +5 | Magnesium  | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [186.760(60)]                |            L10635
     12 | Mg VII        |         +6 | Magnesium  | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [225.015(60)]                |            L11770
     12 | Mg VIII       |         +7 | Magnesium  | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [265.924(19)]                |            L11770
     12 | Mg IX         |         +8 | Magnesium  | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [327.985(40)]                |            L11770
     12 | Mg X          |         +9 | Magnesium  | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          (367.5000(70))               |         L16264c99
     12 | Mg XI         |        +10 | Magnesium  | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (1761.80481(20))              |            L12128
     12 | Mg XII        |        +11 | Magnesium  | H           | 1s                | 2S<1/2>      |                   |         (1962.66400(12))              |             L7188
     13 | Al I          |          0 | Aluminum   | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |             5.9857684(30)             |      L7215,L10321
     13 | Al II         |         +1 | Aluminum   | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |            18.828550(50)              |             L7215
     13 | Al III        |         +2 | Aluminum   | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |            28.447640(25)              |             L7215
     13 | Al IV         |         +3 | Aluminum   | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |           119.9924(19)                |       L4714,L2829
