# temp h_1 he_1 he_2 c_1 c_2 c_3 n_1 n_2 n_3 n_4 o_1 o_2 o_3 o_4 o_5
9.023870691171700931e-02 6.106729745043890117e-75 2.097532313048691152e-128 2.183162810254220189e-272 2.535408482466073352e-63 4.407293230546855665e-127 1.753097727973530938e-240 2.873378347741569072e-79 7.395572343388962448e-152 4.544646714889388167e-238 0.000000000000000000e+00 5.041999453315743176e-75 8.251275296089574773e-179 4.052165569398798873e-274 0.000000000000000000e+00 0.000000000000000000e+00
9.065564775944072451e-02 1.224075389475211023e-74 7.361429195594622752e-128 3.504321934961398289e-271 4.511367567098719070e-63 1.530870086745218585e-126 2.017378052837657471e-239 6.041052608734813142e-79 3.350991316520463327e-151 5.113952037089456643e-237 0.000000000000000000e+00 1.011637906322172877e-74 4.952657058683737266e-178 6.678322387297692709e-273 0.000000000000000000e+00 0.000000000000000000e+00
9.107451504955750565e-02 2.445813872842884582e-74 2.568696447856697195e-127 5.553695767572607672e-270 8.006124133298705584e-63 5.287163964590837287e-126 2.295585317132218351e-238 1.265764529416985422e-78 1.507861313150694626e-150 5.690924321013884681e-236 0.000000000000000000e+00 2.023303571422991651e-74 2.948360510135033761e-177 1.086563334328797396e-271 0.000000000000000000e+00 0.000000000000000000e+00
9.149531768304312862e-02 4.871478390245232988e-74 8.911937042266815246e-127 8.690522088882561475e-269 1.417083791680713749e-62 1.815669043616559705e-125 2.583134307159518687e-237 2.643142209756973965e-78 6.738293718079945952e-150 6.263265517692897896e-235 0.000000000000000000e+00 4.033824804422690730e-74 1.740862643410549224e-176 1.745323353305535136e-270 0.000000000000000000e+00 0.000000000000000000e+00
9.191806460199920814e-02 9.672230393613209269e-74 3.074337711926396413e-126 1.342828980771941146e-267 2.501687708743663316e-62 6.199996327801814039e-125 2.874552581419628898e-236 5.500753940746683086e-78 2.990561338561048473e-149 6.817620174869229257e-234 0.000000000000000000e+00 8.016769424925579503e-74 1.019544964799119085e-175 2.767932816412117475e-269 0.000000000000000000e+00 0.000000000000000000e+00
9.234276478984405900e-02 1.914376127902276764e-73 1.054538839238993448e-125 2.048952277684978571e-266 4.404942419187531231e-62 2.105224040168323872e-124 3.163628380815108933e-235 1.140945050995386094e-77 1.318206537520031081e-148 7.340079414827085054e-233 0.000000000000000000e+00 1.588233847737095811e-73 5.922737860973317988e-175 4.334304963863033156e-268 0.000000000000000000e+00 0.000000000000000000e+00
9.276942727150280787e-02 3.777191215946234704e-73 3.596801623066581611e-125 3.087481823532818912e-265 7.736101398808989003e-62 7.108346912026111935e-124 3.443616006370394081e-234 2.358602599457916264e-77 5.771063410972674742e-148 7.816756859630762032e-232 0.000000000000000000e+00 3.136667499042359360e-73 3.412943538841474879e-174 6.701824164870029470e-267 0.000000000000000000e+00 0.000000000000000000e+00
9.319806111359957290e-02 7.429472618449673871e-73 1.219901012890836493e-124 4.594766193427717039e-264 1.355139561496887020e-61 2.386786225840171564e-123 3.707490383932974355e-233 4.859583303279047519e-77 2.509478479549530654e-147 8.234403524866424482e-231 0.000000000000000000e+00 6.175437947728246744e-73 1.950932767144329704e-173 1.023296496455296741e-265 0.000000000000000000e+00 0.000000000000000000e+00
9.362867542465044823e-02 1.456802029916436707e-72 4.114320775388273488e-124 6.753575568534707924e-263 2.367723582899964500e-61 7.969740892411364276e-123 3.948237958970408219e-232 9.979393645712034752e-77 1.083876730616546479e-146 8.581023565957165497e-230 0.000000000000000000e+00 1.212044353081565375e-72 1.106313410243279802e-172 1.543014383036601528e-264 0.000000000000000000e+00 0.000000000000000000e+00
9.406127935525626649e-02 2.847756282604386527e-72 1.379902349415300538e-123 9.804833721886051832e-262 4.126370397116003637e-61 2.646499145553855688e-122 4.159167263451356931e-231 2.042569115361047102e-76 4.650060230860469807e-146 8.846450663189702686e-229 0.000000000000000000e+00 2.371520793553163495e-72 6.223758298827877588e-172 2.297859705830739124e-263 0.000000000000000000e+00 0.000000000000000000e+00
